Dataset,Method,Time(s),Matches
density_pattern_len64_pattern.txt vs density_case_067_d2.42e-03_text.txt,MPI (4),0.102492,3782
density_pattern_len64_pattern.txt vs density_case_067_d2.42e-03_text.txt,CUDA,0.582172,3782
density_pattern_len64_pattern.txt vs density_case_068_d2.72e-03_text.txt,Sequential,0.355296,4248
density_pattern_len64_pattern.txt vs density_case_068_d2.72e-03_text.txt,MPI (4),0.102561,4248
density_pattern_len64_pattern.txt vs density_case_068_d2.72e-03_text.txt,CUDA,0.598059,4248
density_pattern_len64_pattern.txt vs density_case_069_d3.05e-03_text.txt,Sequential,0.353554,4772
density_pattern_len64_pattern.txt vs density_case_069_d3.05e-03_text.txt,MPI (4),0.102837,4772
density_pattern_len64_pattern.txt vs density_case_069_d3.05e-03_text.txt,CUDA,0.594051,4772
density_pattern_len64_pattern.txt vs density_case_070_d3.43e-03_text.txt,Sequential,0.354222,5361
density_pattern_len64_pattern.txt vs density_case_070_d3.43e-03_text.txt,MPI (4),0.10283,5361
density_pattern_len64_pattern.txt vs density_case_070_d3.43e-03_text.txt,CUDA,0.594868,5361
density_pattern_len64_pattern.txt vs density_case_071_d3.85e-03_text.txt,Sequential,0.353235,6022
density_pattern_len64_pattern.txt vs density_case_071_d3.85e-03_text.txt,MPI (4),0.10271,6022
density_pattern_len64_pattern.txt vs density_case_071_d3.85e-03_text.txt,CUDA,0.598121,6022
density_pattern_len64_pattern.txt vs density_case_072_d4.33e-03_text.txt,Sequential,0.353704,6764
density_pattern_len64_pattern.txt vs density_case_072_d4.33e-03_text.txt,MPI (4),0.102912,6764
density_pattern_len64_pattern.txt vs density_case_072_d4.33e-03_text.txt,CUDA,0.594603,6764
density_pattern_len64_pattern.txt vs density_case_073_d4.86e-03_text.txt,Sequential,0.354164,7598
density_pattern_len64_pattern.txt vs density_case_073_d4.86e-03_text.txt,MPI (4),0.10231,7598
density_pattern_len64_pattern.txt vs density_case_073_d4.86e-03_text.txt,CUDA,0.596592,7598
density_pattern_len64_pattern.txt vs density_case_074_d5.46e-03_text.txt,Sequential,0.352845,8535
density_pattern_len64_pattern.txt vs density_case_074_d5.46e-03_text.txt,MPI (4),0.101946,8535
density_pattern_len64_pattern.txt vs density_case_074_d5.46e-03_text.txt,CUDA,0.600226,8535
density_pattern_len64_pattern.txt vs density_case_075_d6.14e-03_text.txt,Sequential,0.35297,9588
density_pattern_len64_pattern.txt vs density_case_075_d6.14e-03_text.txt,MPI (4),0.102252,9588
density_pattern_len64_pattern.txt vs density_case_075_d6.14e-03_text.txt,CUDA,0.613216,9588
density_pattern_len64_pattern.txt vs density_case_076_d6.89e-03_text.txt,Sequential,0.353527,10770
density_pattern_len64_pattern.txt vs density_case_076_d6.89e-03_text.txt,MPI (4),0.102338,10770
density_pattern_len64_pattern.txt vs density_case_076_d6.89e-03_text.txt,CUDA,0.604715,10770
density_pattern_len64_pattern.txt vs density_case_077_d7.74e-03_text.txt,Sequential,0.352786,12098
density_pattern_len64_pattern.txt vs density_case_077_d7.74e-03_text.txt,MPI (4),0.102153,12098
density_pattern_len64_pattern.txt vs density_case_077_d7.74e-03_text.txt,CUDA,0.601725,12098
density_pattern_len64_pattern.txt vs density_case_078_d8.70e-03_text.txt,Sequential,0.352943,13590
density_pattern_len64_pattern.txt vs density_case_078_d8.70e-03_text.txt,MPI (4),0.103745,13590
density_pattern_len64_pattern.txt vs density_case_078_d8.70e-03_text.txt,CUDA,0.604415,13590
density_pattern_len64_pattern.txt vs density_case_079_d9.77e-03_text.txt,Sequential,0.352476,15266
